character,unicode,short description,tags,LLM description
💇🏽‍♂,U+1F487 1F3FD 200D 2642,MAN GETTING HAIRCUT MEDIUM SKIN TONE,"['man' 'haircut' 'grooming' 'personal care' 'medium skin tone'
 'appearance']","This emoji represents a medium skin tone man getting a haircut, often used to express the act of grooming, personal care, or a change in appearance."
💆‍♂️,U+1F486 200D 2642 FE0F,MAN GETTING MASSAGE,['massage' 'relaxation' 'self-care' 'pampering' 'man' 'body' 'well-being'],"This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a feeling of being pampered."
💆‍♂,U+1F486 200D 2642,MAN GETTING MASSAGE,['massage' 'relaxation' 'self-care' 'pampering' 'man' 'body' 'well-being'],"This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a feeling of being pampered."
💆🏿‍♂️,U+1F486 1F3FF 200D 2642 FE0F,MAN GETTING MASSAGE DARK SKIN TONE,['massage' 'relaxation' 'self-care' 'man' 'dark skin tone' 'pampering'],"This emoji represents a man with dark skin tone receiving a massage, often used to convey relaxation, self-care, or a pampering experience."
💆🏿‍♂,U+1F486 1F3FF 200D 2642,MAN GETTING MASSAGE DARK SKIN TONE,['massage' 'relaxation' 'self-care' 'man' 'dark skin tone' 'pampering'],"This emoji represents a man with dark skin tone receiving a massage, often used to convey relaxation, self-care, or a pampering experience."
💆🏻‍♂️,U+1F486 1F3FB 200D 2642 FE0F,MAN GETTING MASSAGE LIGHT SKIN TONE,['man' 'massage' 'relaxation' 'self-care' 'pampered' 'light skin tone'],"This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a sense of being pampered or taken care of."
💆🏻‍♂,U+1F486 1F3FB 200D 2642,MAN GETTING MASSAGE LIGHT SKIN TONE,"['massage' 'relaxation' 'self-care' 'man' 'light skin tone' 'pampered'
 'care']","This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a sense of being pampered or taken care of."
💆🏾‍♂️,U+1F486 1F3FE 200D 2642 FE0F,MAN GETTING MASSAGE MEDIUM-DARK SKIN TONE,"['man' 'massage' 'relaxation' 'self-care' 'medium-dark skin tone'
 'pampering']","This emoji represents a man with medium-dark skin tone receiving a massage, often used to convey relaxation, self-care, or a pampering experience."
💆🏾‍♂,U+1F486 1F3FE 200D 2642,MAN GETTING MASSAGE MEDIUM-DARK SKIN TONE,"['man' 'massage' 'relaxation' 'self-care' 'medium-dark skin tone'
 'pampering']","This emoji represents a man receiving a massage, with a medium-dark skin tone, often used to convey relaxation, self-care, or a pampering experience."
💆🏼‍♂️,U+1F486 1F3FC 200D 2642 FE0F,MAN GETTING MASSAGE MEDIUM-LIGHT SKIN TONE,"['man' 'massage' 'relaxation' 'self-care' 'medium-light skin tone'
 'pampering']","This emoji represents a man receiving a massage, with a medium-light skin tone, often used to convey relaxation, self-care, or pampering."
💆🏼‍♂,U+1F486 1F3FC 200D 2642,MAN GETTING MASSAGE MEDIUM-LIGHT SKIN TONE,"['massage' 'relaxation' 'self-care' 'man' 'medium-light skin tone'
 'pampering']","This emoji represents a man receiving a massage, with a medium-light skin tone, often used to convey relaxation, self-care, or pampering."
💆🏽‍♂️,U+1F486 1F3FD 200D 2642 FE0F,MAN GETTING MASSAGE MEDIUM SKIN TONE,['massage' 'relaxation' 'self-care' 'man' 'medium skin tone' 'rest'],"This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a desire for a break from stress."
💆🏽‍♂,U+1F486 1F3FD 200D 2642,MAN GETTING MASSAGE MEDIUM SKIN TONE,['massage' 'relaxation' 'self-care' 'man' 'medium skin tone' 'pampering'],"This emoji represents a man receiving a massage, often used to express relaxation, self-care, or to convey a sense of being pampered."
🏌️‍♂️,U+1F3CC FE0F 200D 2642 FE0F,MAN GOLFING,['golf' 'sport' 'man' 'recreation' 'leisure' 'outdoor' 'game'],"This emoji represents a man golfing, showing a person holding a golf club and standing on a green grass, often used to express interest in or participation in the sport of golf."
🏌‍♂️,U+1F3CC 200D 2642 FE0F,MAN GOLFING,['golf' 'sport' 'leisure' 'man' 'activity' 'outdoor' 'recreation'],"This emoji represents a man golfing, showing a person holding a golf club and standing on a green grass field, often used to express interest in sports or leisure activities."
🏌️‍♂,U+1F3CC FE0F 200D 2642,MAN GOLFING,['golf' 'sport' 'man' 'recreation' 'outdoor' 'leisure' 'activity'],"This emoji represents a man golfing, showing a person holding a golf club and standing on a green grass, often used to express interest in or participation in the sport of golf."
🏌‍♂,U+1F3CC 200D 2642,MAN GOLFING,['golf' 'sport' 'man' 'recreation' 'outdoor' 'leisure' 'game'],"This emoji represents a man golfing, showing a person holding a golf club and standing on a green grass field, often used to express interest in or participation in the sport of golf."
🏌🏿‍♂️,U+1F3CC 1F3FF 200D 2642 FE0F,MAN GOLFING DARK SKIN TONE,['golf' 'sport' 'man' 'dark skin tone' 'recreation' 'leisure' 'enjoyment'],"This emoji represents a man golfing with a dark skin tone, showcasing a person engaged in the sport of golf, often used to express interest in or enjoyment of the game."
🏌🏿‍♂,U+1F3CC 1F3FF 200D 2642,MAN GOLFING DARK SKIN TONE,['golf' 'sport' 'man' 'dark skin tone' 'recreation' 'enjoyment'],"This emoji represents a man golfing with a dark skin tone, showcasing a person engaged in the sport of golf, often used to express interest in or enjoyment of the game."
🏌🏻‍♂️,U+1F3CC 1F3FB 200D 2642 FE0F,MAN GOLFING LIGHT SKIN TONE,['golf' 'sport' 'leisure' 'relaxation' 'golfer' 'man' 'light skin tone'],"This emoji represents a man golfing with a light skin tone, showcasing a person engaged in the popular sport of golf, often used to express leisure, relaxation, or to represent a golfer in various contexts."
🏌🏻‍♂,U+1F3CC 1F3FB 200D 2642,MAN GOLFING LIGHT SKIN TONE,['golf' 'sport' 'leisure' 'relaxation' 'golfer' 'light skin tone'],"This emoji represents a man golfing with a light skin tone, showcasing a person engaged in the popular sport of golf, often used to express leisure, relaxation, or to represent a golfer in various contexts."
🏌🏾‍♂️,U+1F3CC 1F3FE 200D 2642 FE0F,MAN GOLFING MEDIUM-DARK SKIN TONE,"['golf' 'sport' 'leisure' 'relaxation' 'hobby' 'man'
 'medium-dark skin tone']","This emoji represents a man golfing with a medium-dark skin tone, showcasing a person engaged in the sport of golf, often used to express leisure, relaxation, or to convey a hobby."
🏌🏾‍♂,U+1F3CC 1F3FE 200D 2642,MAN GOLFING MEDIUM-DARK SKIN TONE,"['golf' 'sport' 'leisure' 'relaxation' 'hobby' 'man'
 'medium-dark skin tone']","This emoji represents a man golfing with a medium-dark skin tone, showcasing a person engaged in the sport of golf, often used to express leisure, relaxation, or to convey a hobby."
🏌🏼‍♂️,U+1F3CC 1F3FC 200D 2642 FE0F,MAN GOLFING MEDIUM-LIGHT SKIN TONE,['golf' 'man' 'medium-light skin tone' 'leisure' 'sports' 'hobbies'],"This emoji represents a medium-light skin tone man engaged in the sport of golf, often used to convey leisure, sports, or hobbies."
🏌🏼‍♂,U+1F3CC 1F3FC 200D 2642,MAN GOLFING MEDIUM-LIGHT SKIN TONE,"['golf' 'sport' 'leisure' 'relaxation' 'hobby' 'man'
 'medium-light skin tone']","This emoji represents a man golfing with a medium-light skin tone, showcasing a person engaged in the sport of golf, often used to express leisure, relaxation, or to convey a hobby."
🏌🏽‍♂️,U+1F3CC 1F3FD 200D 2642 FE0F,MAN GOLFING MEDIUM SKIN TONE,['golf' 'man' 'medium skin tone' 'leisure' 'sports' 'hobbies'],"This emoji represents a medium skin tone man engaging in the sport of golf, often used to convey leisure, sports, or hobbies."
🏌🏽‍♂,U+1F3CC 1F3FD 200D 2642,MAN GOLFING MEDIUM SKIN TONE,['golf' 'man' 'medium skin tone' 'leisure' 'sports' 'hobbies'],"This emoji represents a medium skin tone man engaging in the sport of golf, often used to convey leisure, sports, or hobbies."
💂‍♂️,U+1F482 200D 2642 FE0F,MAN GUARD,['guard' 'soldier' 'protection' 'security' 'authority' 'male' 'uniform'],"This emoji represents a male guard or soldier, often used to convey protection, security, or authority in various contexts."
💂‍♂,U+1F482 200D 2642,MAN GUARD,['guard' 'soldier' 'protection' 'security' 'authority' 'male' 'uniform'],"This emoji represents a male guard or soldier, often used to convey protection, security, or authority in various contexts."
💂🏿‍♂️,U+1F482 1F3FF 200D 2642 FE0F,MAN GUARD DARK SKIN TONE,"['man guard' 'dark skin tone' 'protection' 'security' 'authority'
 'law enforcement' 'military']","This emoji represents a man guard with dark skin tone, often used to convey protection, security, or authority in various contexts."
💂🏿‍♂,U+1F482 1F3FF 200D 2642,MAN GUARD DARK SKIN TONE,['guard' 'man' 'dark skin tone' 'protection' 'security' 'authority'],"This emoji represents a man guard with dark skin tone, often used to convey protection, security, or authority in various contexts."
💂🏻‍♂️,U+1F482 1F3FB 200D 2642 FE0F,MAN GUARD LIGHT SKIN TONE,"['guard' 'soldier' 'protection' 'security' 'authority' 'male'
 'light skin tone']","This emoji represents a male guard or soldier with light skin tone, often used to convey protection, security, or authority in various contexts."
💂🏻‍♂,U+1F482 1F3FB 200D 2642,MAN GUARD LIGHT SKIN TONE,['guard' 'security' 'man' 'light skin tone' 'protection' 'authority'],"This emoji represents a man in uniform serving as a guard or security personnel, with a light skin tone, often used to convey protection, safety, or authority."
💂🏾‍♂️,U+1F482 1F3FE 200D 2642 FE0F,MAN GUARD MEDIUM-DARK SKIN TONE,"['man guard' 'medium-dark skin tone' 'protection' 'security' 'authority'
 'law enforcement' 'military']","This emoji represents a man guard with a medium-dark skin tone, often used to convey protection, security, or authority in various contexts."
💂🏾‍♂,U+1F482 1F3FE 200D 2642,MAN GUARD MEDIUM-DARK SKIN TONE,['guard' 'man' 'medium-dark skin tone' 'uniform' 'security' 'authority'],"This emoji represents a man in uniform serving as a guard, with a medium-dark skin tone, often used to convey protection, security, or authority."
💂🏼‍♂️,U+1F482 1F3FC 200D 2642 FE0F,MAN GUARD MEDIUM-LIGHT SKIN TONE,"['guard' 'soldier' 'protection' 'security' 'authority'
 'medium-light skin tone' 'man']","This emoji represents a medium-light skin tone man serving as a guard or soldier, often used to convey protection, security, or authority in various contexts."
💂🏼‍♂,U+1F482 1F3FC 200D 2642,MAN GUARD MEDIUM-LIGHT SKIN TONE,"['guard' 'soldier' 'protection' 'security' 'authority'
 'medium-light skin tone' 'man']","This emoji represents a medium-light skin tone man serving as a guard or soldier, often used to convey protection, security, or authority in various contexts."
💂🏽‍♂️,U+1F482 1F3FD 200D 2642 FE0F,MAN GUARD MEDIUM SKIN TONE,['guard' 'man' 'medium skin tone' 'protection' 'security' 'authority'],"This emoji represents a medium skin tone man guard, often used to convey themes of protection, security, or authority in various contexts."
💂🏽‍♂,U+1F482 1F3FD 200D 2642,MAN GUARD MEDIUM SKIN TONE,['guard' 'protection' 'security' 'authority' 'man' 'medium skin tone'],"This emoji represents a medium skin tone man guard, often used to convey themes of protection, security, or authority in various contexts."
👨‍⚕️,U+1F468 200D 2695 FE0F,MAN HEALTH WORKER,"['man' 'healthcare' 'doctor' 'nurse' 'medical' 'profession' 'care'
 'healing' 'support']","This emoji represents a man working in the healthcare profession, often used to convey a doctor, nurse, or medical professional, symbolizing care, healing, and support in times of illness."
👨‍⚕,U+1F468 200D 2695,MAN HEALTH WORKER,"['man' 'healthcare' 'doctor' 'nurse' 'medical' 'profession' 'care'
 'healing' 'support']","This emoji represents a man working in the healthcare profession, often used to convey a doctor, nurse, or medical professional, symbolizing care, healing, and support in times of illness."
👨🏿‍⚕️,U+1F468 1F3FF 200D 2695 FE0F,MAN HEALTH WORKER DARK SKIN TONE,"['man' 'healthcare' 'medical' 'worker' 'dark skin tone' 'profession'
 'concern' 'health']","This emoji represents a man working in the healthcare profession, specifically with a dark skin tone, often used to convey medical professionals, healthcare workers, or to express concern for someone's health."
👨🏿‍⚕,U+1F468 1F3FF 200D 2695,MAN HEALTH WORKER DARK SKIN TONE,"['man' 'healthcare' 'medical professional' 'dark skin tone' 'support'
 'doctor' 'nurse']","This emoji represents a man working in the healthcare profession, specifically with a dark skin tone, and is often used to convey a message related to medical professionals, healthcare, or support for those in the field."
👨🏻‍⚕️,U+1F468 1F3FB 200D 2695 FE0F,MAN HEALTH WORKER LIGHT SKIN TONE,"['man' 'healthcare' 'doctor' 'nurse' 'light skin tone' 'medical'
 'profession']","This emoji represents a man working in the healthcare profession, specifically with a light skin tone, often used to convey medical professionals, doctors, or nurses."
👨🏻‍⚕,U+1F468 1F3FB 200D 2695,MAN HEALTH WORKER LIGHT SKIN TONE,"['man' 'healthcare' 'doctor' 'nurse' 'light skin tone' 'medical'
 'profession']","This emoji represents a man working in the healthcare profession, specifically with a light skin tone, often used to convey medical professionals, doctors, or nurses."
👨🏾‍⚕️,U+1F468 1F3FE 200D 2695 FE0F,MAN HEALTH WORKER MEDIUM-DARK SKIN TONE,"['man' 'health worker' 'medium-dark skin tone' 'medical professional'
 'healthcare' 'wellness' 'doctor' 'nurse']","This emoji represents a man health worker with medium-dark skin tone, often used to convey medical professionals, healthcare providers, or people working in the health and wellness industry."
👨🏾‍⚕,U+1F468 1F3FE 200D 2695,MAN HEALTH WORKER MEDIUM-DARK SKIN TONE,"['man' 'health worker' 'medium-dark skin tone' 'healthcare' 'professional'
 'doctor' 'nurse']","This emoji represents a man health worker with medium-dark skin tone, depicting a male healthcare professional who works to maintain and improve the health of individuals and communities."
👨🏼‍⚕️,U+1F468 1F3FC 200D 2695 FE0F,MAN HEALTH WORKER MEDIUM-LIGHT SKIN TONE,"['man' 'healthcare' 'medical' 'doctor' 'nurse' 'profession'
 'medium-light skin tone']","This emoji represents a man working in the healthcare profession, with a medium-light skin tone, often used to convey medical professionals, doctors, or nurses in various contexts."
👨🏼‍⚕,U+1F468 1F3FC 200D 2695,MAN HEALTH WORKER MEDIUM-LIGHT SKIN TONE,"['man' 'healthcare' 'medical professional' 'wellness'
 'medium-light skin tone']","This emoji represents a man working in the healthcare profession, specifically with a medium-light skin tone. It is often used to convey a message related to medical professionals, healthcare, or wellness."
👨🏽‍⚕️,U+1F468 1F3FD 200D 2695 FE0F,MAN HEALTH WORKER MEDIUM SKIN TONE,"['man' 'healthcare worker' 'medium skin tone' 'doctor' 'nurse'
 'medical professional' 'care' 'healing' 'health']","This emoji represents a male healthcare worker with medium skin tone, often used to convey professions such as doctors, nurses, or medical professionals, and symbolizes care, healing, and health."
